# TechSnap 既出商品リスト（自動生成・手で編集しない）
# 生成: node scripts/build-covered-products.mjs
# 正データは articles-index.json。ここに載っている商品は「記事化済み」＝新規提案の対象外。
# 形式: ブランド | 商品名（型番）  ／複数商品の記事は / 区切り
# 件数: 108（商品名なしの記事 0 件を除く）

AAL | 電動空気入れ 8016
Aladdin | グラファイトトースター
Anker / EcoFlow | ポータブル電源セット
Anker | Nano II 65W
Anker | Nano Power Bank A1665
Anker | Nano Power Strip A9196
Anker | Prime Charger (250W, 6 Ports, GaN) A2345
Anker | Solix C1000 Gen 2
Apple | AirPods Pro 3 MFHP4J/A
Apple | Apple Watch SE 3 / Apple Watch Series 11
Apple | iPad 第11世代（A16）
Aqara / REOLINK | Camera Hub G5 Pro / Argus PT+SP
arboleaf | 筋膜リリースガン J2
audio-technica | AT-UMX3
audio-technica | ATH-M20x
BLOZEY | 冷風扇 FK2508Y
Blue | Yeti Nano
BONIQ | 3.0 BNQ-29W
BONIQ | Vacuumer BNQ-32B
BRUNO / アイリスオーヤマ | BOE021 / IHA-A30
BRUNO | ミニボトルブレンダー BOE073
Canon | EOS 6D Mark II レンズキット
Canon | EOS R50
Canon | EOS R6 Mark III
Canon | RF35mm F1.8 MACRO IS STM
Canon | コントロールリングマウントアダプター EF-EOS R
CMF by Nothing | Headphone Pro B175
cocostar / PRo° / Qoosea | PCMアイスキャップマット cocostar / ICEキャップ 22℃ レギュラーサイズ ICEHEAD-25-new / PC-Mキャップ cool-cap
COMFEE' | 冷凍庫 RCC100WH
diagnl | ニンジャストラップ
DJI | Mic Mini
DJI | Osmo 360 アドベンチャーコンボ OQ001
DJI | Osmo Pocket 4
DXRacer / AKRacing / Bauhutte | ゲーミングチェア
Dyson | V8 Origin
EIZO | ColorEdge CS2400S
Elgato | Wave Mic Arm LP
EPEIOS / COSORI | FoElem Chef EPAO502 / TurboBlaze CAF-DC601S-WUSR
EPSON | EW-056A
FEZIBO | 電動昇降デスク YJJF-SD0001-120DWA-02
GameSir | Nova 2 Lite
